MPN,Manufacturer,Category,Description,Thermal_Conductivity,Thickness,Width,Length,Price_THB
MCP98243T-BE/MNY,Microchip Technology,Integrated Circuits (ICs),"Temp Monitoring System (Sensor), DIMM DDR Memory -40°C ~ 125°C Internal Sensor I2C/SMBus Output 8-TDFN (2x3)",,,2 mm,3 mm,40.95
4171G,"Boyd Laconia, LLC","Fans, Blowers, Thermal Management",Thermal Pad 16.51mm x 12.70mm Rectangular,-,"0.0701"" (1.780mm)",,,41.27
4180G,"Boyd Laconia, LLC","Fans, Blowers, Thermal Management",Thermal Pad 23.24mm x 18.80mm Rectangular,-,"0.0800"" (2.032mm)",,,43.47
DML3006LFDS-7,Diodes Incorporated,Integrated Circuits (ICs),Power Switch/Driver 1:1 N-Channel 10.5A V-DFN2020-8 (Type F),,,,,45.68
TAS2505IRGER,Texas Instruments,Integrated Circuits (ICs),Amplifier IC 1-Channel (Mono) with Mono Headphones Class D 24-VQFN (4x4),,,4 mm,4 mm,45.99
SP2000-0.015-00-104,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad White 25.40mm x 19.05mm Rectangular,3.5W/m-K,"0.0150"" (0.381mm)",,,45.99
MP7740DN-LF-Z,Monolithic Power Systems Inc.,Integrated Circuits (ICs),Amplifier IC 1-Channel (Mono) Class D 8-SOICE,,,,,49.46
QB0603B25WYT,KYOCERA AVX,"Fans, Blowers, Thermal Management",Thermal Pad 1.52mm x 0.76mm Rectangular,"50W/m-K, 76W/m-K","0.0025"" (0.064mm)",,,50.72
TG-A1250-30-30-0.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Green 30.00mm x 30.00mm Square,12.5W/m-K,"0.0197"" (0.500mm)",,,51.03
V-1102-SMD/A-L,Assmann WSW Components,"Fans, Blowers, Thermal Management",Heat Sink TO-263 (D²Pak) Copper Top Mount,,"0.450"" (11.43mm)","1.000"" (25.40mm)","0.763"" (19.38mm)",51.35
TG-A6200-25-25-2.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Blue 25.00mm x 25.00mm Square Tacky - Both Sides,6.2W/m-K,"0.0790"" (2.000mm)",,,56.7
TG-A1250-20-20-1.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Green 20.00mm x 20.00mm Square,12.5W/m-K,"0.0591"" (1.500mm)",,,58.28
THJP2512AST1,Vishay Dale Thin Film,"Fans, Blowers, Thermal Management",Thermal Pad 6.40mm x 3.20mm Rectangular,65W/m-K,"0.0300"" (0.762mm)",,,59.85
THJP1225AST1,Vishay Dale Thin Film,"Fans, Blowers, Thermal Management",Thermal Pad 3.20mm x 6.40mm Rectangular,259W/m-K,"0.0300"" (0.762mm)",,,61.74
